ID,Title,Type,Category,Priority,Preconditions,Steps,Expected Result,Automation ID,Automation Tag
TC-MAN-01,Homepage displays product catalog,Positive,Smoke,High,User can access SUT,1. Navigate to homepage 2. Verify product cards are visible,Product catalog loads with at least one product,TC-UI-01,@smoke
TC-MAN-02,Valid user login,Positive,Smoke,High,Registered user exists (customer2@practicesoftwaretesting.com),1. Click Sign in 2. Enter valid email and password 3. Submit,Profile menu visible; user authenticated,TC-UI-02,@smoke
TC-MAN-03,Product detail page from homepage,Positive,Smoke,Medium,Homepage loaded,1. Click first product card 2. Verify product detail page,Add to cart button visible on product detail page,TC-UI-03,@smoke
TC-MAN-04,User registration with valid details,Positive,Regression,Medium,Unique email available,1. Click Register 2. Fill first name last name email password 3. Submit,Account created and user logged in with profile menu visible,TC-UI-04,@regression
TC-MAN-05,Login with invalid password,Negative,Regression,High,Registered user exists,1. Click Sign in 2. Enter valid email and wrong password 3. Submit,Login error displayed; user remains unauthenticated,TC-UI-06,@regression
TC-MAN-06,Profile shows registered user details,Positive,Regression,Medium,User logged in,1. Open profile from nav menu 2. Verify email and name fields,Profile email matches logged-in user; first name populated,TC-UI-07,@regression
TC-MAN-07,E2E COD checkout with quantity and invoice,Positive,Regression,Critical,User logged in,1. Open product and set quantity 2 2. Add to cart 3. Proceed to checkout 4. Fill billing address 5. Select Cash on Delivery 6. Click Confirm twice 7. Open My Invoices,Order success message shown; invoice number visible under My Invoices,TC-UI-05,@regression
TC-MAN-08,Search for existing product,Positive,Regression,Medium,Homepage loaded,1. Enter product name in search (e.g. Thor Hammer) 2. Submit search,Matching product(s) displayed in results,Manual,Manual
TC-MAN-09,Search for non-existent product,Negative,Regression,Low,Homepage loaded,1. Enter random non-existent string 2. Submit search,No results / user-friendly empty state shown,Manual,Manual
TC-MAN-10,Checkout with single confirm only,Edge,Regression,High,User logged in with item in cart,1. Complete billing and select COD 2. Click Confirm once only,Invoice may not generate; order may remain incomplete (validates double-confirm rule),Manual,Manual
TC-MAN-11,Add to cart with empty quantity field,Edge,Regression,Medium,User on product detail page,1. Clear quantity field 2. Click Add to cart,System defaults to 1 or shows validation; cart does not break,Manual,Manual
TC-MAN-12,Checkout with missing billing fields,Negative,Regression,High,User logged in with cart items,1. Proceed to checkout 2. Leave required address fields empty 3. Attempt to continue,Field-level validation errors displayed; checkout blocked,Manual,Manual
